Value1: 74585653, Value2: 274285, Difference: 74311368
Value1: 18793392, Value2: 964422, Difference: 17828970
Value1: 162056, Value2: 1671865, Difference: -1509809
Value1: 992738, Value2: 76983547, Difference: -75990809
Value1: 919704, Value2: 33290556, Difference: -32370852
Value1: 509735, Value2: 99304698, Difference: -98794963
Value1: 855503, Value2: 75276533, Difference: -74421030
Value1: 12618441, Value2: 884440, Difference: 11734001
Value1: 51631175, Value2: 691104, Difference: 50940071
Value1: 95137495, Value2: 3418, Difference: 95134077
Value1: 45789758, Value2: 570031, Difference: 45219727
Value1: 14407345, Value2: 209375, Difference: 14197970
Value1: 16246994, Value2: 825659, Difference: 15421335
Value1: 306095, Value2: 64496386, Difference: -64190291
Value1: 44135010, Value2: 148626, Difference: 43986384
Value1: 68841924, Value2: 207392, Difference: 68634532
Value1: 85165418, Value2: 375349, Difference: 84790069
Value1: 56779857, Value2: 68400, Difference: 56711457
Value1: 147129, Value2: 86914377, Difference: -86767248
Value1: 13355780, Value2: 48469, Difference: 13307311
Value1: 486481, Value2: 67456606, Difference: -66970125
Value1: 15445861, Value2: 73191, Difference: 15372670
Value1: 79563060, Value2: 96289, Difference: 79466771
Value1: 262756, Value2: 88202090, Difference: -87939334
Value1: 102746, Value2: 1448231, Difference: -1345485
Value1: 92863247, Value2: 829860, Difference: 92033387
Value1: 265570, Value2: 66806360, Difference: -66540790
Value1: 90045846, Value2: 511751, Difference: 89534095
Value1: 712555, Value2: 5013901, Difference: -4301346
Value1: 367160, Value2: 67963796, Difference: -67596636
Value1: 792704, Value2: 86797098, Difference: -86004394
Value1: 89008350, Value2: 898130, Difference: 88110220
Value1: 63785, Value2: 95599574, Difference: -95535789
Value1: 20471021, Value2: 728780, Difference: 19742241
Value1: 70092388, Value2: 395794, Difference: 69696594
Value1: 280286, Value2: 55158310, Difference: -54878024
Value1: 409592, Value2: 71932016, Difference: -71522424
Value1: 357608, Value2: 46357106, Difference: -45999498
Value1: 57233, Value2: 13384043, Difference: -13326810
Value1: 479973, Value2: 62735692, Difference: -62255719
Value1: 836970, Value2: 53652903, Difference: -52815933
Value1: 698682, Value2: 82304988, Difference: -81606306
Value1: 76030859, Value2: 285814, Difference: 75745045
Value1: 7218785, Value2: 46506, Difference: 7172279
Value1: 81842279, Value2: 288740, Difference: 81553539
Value1: 42414934, Value2: 628308, Difference: 41786626
Value1: 70694802, Value2: 970306, Difference: 69724496
Value1: 13945227, Value2: 873068, Difference: 13072159
Value1: 77556487, Value2: 946402, Difference: 76610085
Value1: 98507871, Value2: 168879, Difference: 98338992
Value1: 143407, Value2: 15690725, Difference: -15547318
Value1: 297073, Value2: 57306079, Difference: -57009006
Value1: 292432, Value2: 83425422, Difference: -83132990
Value1: 760666, Value2: 77109053, Difference: -76348387
Value1: 93167580, Value2: 162019, Difference: 93005561
Value1: 74269686, Value2: 448112, Difference: 73821574
Value1: 1085321, Value2: 572445, Difference: 512876
Value1: 10012293, Value2: 986018, Difference: 9026275
Value1: 54387115, Value2: 296888, Difference: 54090227
Value1: 84388931, Value2: 844987, Difference: 83543944
Value1: 992707, Value2: 6151997, Difference: -5159290
Value1: 882919, Value2: 84686769, Difference: -83803850
Value1: 317954, Value2: 78211781, Difference: -77893827
Value1: 714352, Value2: 63060999, Difference: -62346647
Value1: 424094, Value2: 2816297, Difference: -2392203
Value1: 60365301, Value2: 316834, Difference: 60048467
Value1: 375651, Value2: 7718277, Difference: -7342626
Value1: 656544, Value2: 71551586, Difference: -70895042
Value1: 561167, Value2: 98973818, Difference: -98412651
Value1: 22765975, Value2: 875832, Difference: 21890143
Value1: 463120, Value2: 74874480, Difference: -74411360
Value1: 49793973, Value2: 438350, Difference: 49355623
Value1: 22115037, Value2: 759540, Difference: 21355497
Value1: 692370, Value2: 53696054, Difference: -53003684
Value1: 556158, Value2: 73628763, Difference: -73072605
Value1: 20173, Value2: 37516607, Difference: -37496434
Value1: 420052, Value2: 33877589, Difference: -33457537
Value1: 53787929, Value2: 963334, Difference: 52824595
Value1: 71835390, Value2: 492983, Difference: 71342407
Value1: 750816, Value2: 16510002, Difference: -15759186
Value1: 252159, Value2: 83473438, Difference: -83221279
Value1: 69416681, Value2: 609849, Difference: 68806832
Value1: 50349627, Value2: 636599, Difference: 49713028
Value1: 307110, Value2: 75712164, Difference: -75405054
Value1: 62040, Value2: 99088375, Difference: -99026335
Value1: 25397002, Value2: 266788, Difference: 25130214
Value1: 99276145, Value2: 974720, Difference: 98301425
Value1: 130051, Value2: 17304159, Difference: -17174108
Value1: 612098, Value2: 58495166, Difference: -57883068
Value1: 276459, Value2: 1010787, Difference: -734328
Value1: 494446, Value2: 21335097, Difference: -20840651
Value1: 78954, Value2: 46308343, Difference: -46229389
Value1: 479645, Value2: 17974616, Difference: -17494971
Value1: 757504, Value2: 81567875, Difference: -80810371
Value1: 93677874, Value2: 494857, Difference: 93183017
Value1: 451054, Value2: 66328583, Difference: -65877529
Value1: 709592, Value2: 53914406, Difference: -53204814
